xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,key_resp_7.keys,key_resp_7.rt,expName,gender (m/f),age,frameRate,session,date,participant,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,20,1,81,0,0,0,0,0,None,,,,,,,,512.355166912,w,1,0.533989906311,0.513869047165,0.000946044921875,515.353982925,,,,,,,,,,,,,,,,,,,1.22,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,20,1,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,20,2,82,3,0,0,0,0,None,,,,,,,,516.150367022,a,1,0.5844810009,0.502285003662,0.000899076461792,519.154504061,,,,,,,,,,,,,,,,,,,4.14,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,20,2,82,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,20,3,83,0,0,0,0,0,None,,,,,,,,520.005604029,w,1,0.384589195251,0.514261960983,0.000951051712036,523.005119085,,,,,,,,,,,,,,,,,,,0.52,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,20,3,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,21,0,84,3,0,0,0,0,None,,,,,,,,523.804825068,a,1,0.567482948303,0.515674829483,0.000962972640991,526.805633068,,,,,,,,,,,,,,,,,,,0.37,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,21,0,84,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,21,1,85,0,0,0,0,0,None,,,,,,,,527.658833027,w,1,0.450621128082,0.512496948242,0.000945806503296,530.656256914,,,,,,,,,,,,,,,,,,,0.86,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,21,1,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,21,2,86,1,0,0,0,0,None,,,,,,,,531.496863127,q,1,0.767781019211,0.508015155792,0.000919103622437,534.490353107,,,,,,,,,,,,,,,,,,,2.07,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,21,2,86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,21,3,87,2,0,0,0,0,None,,,,,,,,535.366611004,s,1,0.467576980591,0.505336046219,0.0011990070343,538.357381105,,,,,,,,,,,,,,,,,,,0.47,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,21,3,87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,22,0,88,1,0,0,0,0,None,,,,,,,,539.191972017,q,1,0.367570161819,0.513993024826,0.000903129577637,542.191091061,,,,,,,,,,,,,,,,,,,1.85,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,22,0,88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,22,1,89,1,0,0,0,0,None,,,,,,,,543.081893921,q,1,0.416905879974,0.508131027222,0.000957012176514,546.075371981,,,,,,,,,,,,,,,,,,,2.07,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,22,1,89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,22,2,90,3,0,0,0,0,None,,,,,,,,546.980046034,a,1,0.617698907852,0.510382890701,0.000890970230103,549.975765944,,,,,,,,,,,,,,,,,,,0.44,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,22,2,90,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,22,3,91,3,0,0,0,0,None,,,,,,,,550.841315985,a,1,0.567301034927,0.516268014908,0.000891923904419,553.84295392,,,,,,,,,,,,,,,,,,,1.17,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,22,3,91,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,23,0,92,3,0,0,0,0,None,,,,,,,,554.769273043,a,1,0.567543029785,0.505745887756,0.00101089477539,557.760118961,,,,,,,,,,,,,,,,,,,0.55,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,23,0,92,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,23,1,93,0,0,0,0,0,None,,,,,,,,558.635041952,w,1,0.534432888031,0.507093906403,0.000944852828979,561.627319098,,,,,,,,,,,,,,,,,,,1.1,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,23,1,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,23,2,94,0,0,0,0,0,None,,,,,,,,562.557378054,w,1,0.53426194191,0.502089977264,0.000904083251953,565.56123209,,,,,,,,,,,,,,,,,,,2.05,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,23,2,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,23,3,95,2,0,0,0,0,None,,,,,,,,566.466522932,s,1,0.417275190353,0.510041952133,0.000908851623535,569.462031126,,,,,,,,,,,,,,,,,,,0.92,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,23,3,95,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,24,0,96,3,0,0,0,0,None,,,,,,,,570.405771017,a,1,0.517009019852,0.504914999008,0.00107288360596,573.39564991,,,,,,,,,,,,,,,,,,,3.84,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,24,0,96,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,24,1,97,0,0,0,0,0,None,,,,,,,,574.352226973,w,1,0.784301996231,0.50895690918,0.00091290473938,577.346297026,,,,,,,,,,,,,,,,,,,1.88,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,24,1,97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,24,2,98,2,0,0,0,0,None,,,,,,,,578.264890909,s,1,0.333985090256,0.51335310936,0.000931024551392,581.263520002,,,,,,,,,,,,,,,,,,,0.67,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,24,2,98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,24,3,99,1,0,0,0,0,None,,,,,,,,582.26195097,q,1,0.500613927841,0.516098022461,0.00137400627136,585.263945103,,,,,,,,,,,,,,,,,,,1.11,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,24,3,99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.55635714531,LearningTask,,,60.001688051,3,2015_May_27_1625,5,
