xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,EndingSSD,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,auctionResponse.keys,auctionResponse.rt,key_resp_6.keys,key_resp_6.rt,expName,gender (m/f),age,frameRate,session,date,participant,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,0,76,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,s,1,0.317259073257,0.505761861801,0.000967025756836,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,0,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,1,77,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,s,1,0.385276079178,0.500711917877,0.000968933105469,,,,,,,,,,,,,,,,,,,3.97,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,1,77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,2,78,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,s,1,0.368273973465,0.514539003372,0.000923156738281,,,,,,,,,,,,,,,,,,,2.21,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,2,78,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,3,79,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,a,1,0.384566068649,0.507467031479,0.000960111618042,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,3,79,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,20,0,80,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,a,1,0.33384180069,0.501893043518,0.000926971435547,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,20,0,80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
