xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionBlocks.thisTrial,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,auctionTrials.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,EndingSSD,key_resp_4.keys,key_resp_4.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,m,0,200,,,,,,,,,,4,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,go,invertedtrianglegreen.gif,m,1,0.550925016403,4,2.40534615517,4,6,4,0,0,0.000959873199463,0.51593208313,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.95623612404,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,9.71037101746,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.417466878891,0.5006711483,0.000910997390747,,,,,,,,,,,,,,,,,,,0.33,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.367649078369,0.506861925125,0.000946044921875,,,,,,,,,,,,,,,,,,,1.84,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,a,1,0.384339094162,0.502496004105,0.000891923904419,,,,,,,,,,,,,,,,,,,3.83,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,s,1,0.367936134338,0.511809825897,0.00088095664978,,,,,,,,,,,,,,,,,,,1.22,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
