xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,goResp.rt,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,key_resp_7.keys,key_resp_7.rt,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
,,,m,0,200,,,,,,,,,,3,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,67.3806521893,,,,,,70.3799550533,0.25,stop,invertedtrianglewhite.gif,None,0,2,1.1847679615,2,5,5,0,0,0.00125312805176,0.51305103302,0.763164997101,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
,,,m,0,200,,,,,,,,,,3,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,70.3807971478,,,,,,73.3806221485,0.25,stop,squareyellow.gif,None,0,2,1.1847679615,2,6,6,0,0,0.00125908851624,0.51339006424,0.763273000717,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
,,,m,0,200,,,,,,,,,,4,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,73.381414175,,,,,,76.3807590008,-1,go,hexagonmagenta.gif,m,1,3,1.75221514702,3,6,6,0,0,0.00126814842224,0.513092041016,,0.567447185516,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
,,,z,0,-200,,,,,,,,,,4,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,76.3816211224,,,,,,79.3813669682,0.25,stop,squareyellow.gif,z,1,3,1.75221514702,3,7,6,0,0,0.00125694274902,0.513035058975,0.763076066971,0.36739397049,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.64660191536,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.849256038666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,0,0,0,0,None,,,,,,,,,,,,84.1411659718,None,0,,0.505110025406,0.00103688240051,87.1309521198,,,,,,,,,,,,,,,,,,,1.0,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,1,0,1,0,None,,,,,,,,,,,,87.1320261955,None,0,,0.514616012573,0.0017671585083,90.1311509609,,,,,,,,,,,,,,,,,,,0.9,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,2,0,2,0,None,,,,,,,,,,,,90.1321601868,None,0,,0.515012025833,0.0017831325531,93.1314311028,,,,,,,,,,,,,,,,,,,1.13,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,3,0,3,0,None,,,,,,,,,,,,93.1324169636,a,1,0.283848047256,0.515173912048,0.00172591209412,96.1318371296,,,,,,,,,,,,,,,,,,,0.93,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,None,,,,,,,,,,,,96.3067471981,None,0,,0.50812292099,0.000917911529541,99.2989521027,,,,,,,,,,,,,,,,,,,0.47,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,1,0,1,0,None,,,,,,,,,,,,99.299654007,None,0,,0.515594005585,0.00121402740479,102.299606085,,,,,,,,,,,,,,,,,,,0.6,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,2,0,2,0,None,,,,,,,,,,,,102.300599098,None,0,,0.514985084534,0.00148415565491,105.299803972,,,,,,,,,,,,,,,,,,,0.57,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,3,0,3,0,None,,,,,,,,,,,,105.300798178,None,0,,0.515028953552,0.0017249584198,108.300378084,,,,,,,,,,,,,,,,,,,0.55,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,4,0,4,0,None,,,,,,,,,,,,108.301475048,None,0,,0.514777898788,0.00156307220459,111.300601006,,,,,,,,,,,,,,,,,,,0.7,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,0,0,0,0,None,,,,,,,,,,,,111.483821154,None,0,,0.500293016434,0.000938892364502,114.484485149,,,,,,,,,,,,,,,,,,,0.44,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,1,0,1,0,None,,,,,,,,,,,,114.485471964,None,0,,0.515075922012,0.00160598754883,117.484929085,,,,,,,,,,,,,,,,,,,0.65,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,2,0,2,0,None,,,,,,,,,,,,117.485921144,None,0,,0.515264034271,0.00179505348206,120.485500097,,,,,,,,,,,,,,,,,,,0.62,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,3,0,3,0,None,,,,,,,,,,,,120.486486197,None,0,,0.51492190361,0.00163698196411,123.486067057,,,,,,,,,,,,,,,,,,,0.58,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
