corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,goResp.keys,goResp.corr,goResp.rt,key_resp_3.keys,key_resp_3.rt,expName,gender (m/f),age,frameRate,session,date,participant,
m,0,200,,,,,0,0,0,0,None,9,0,18,1,,,m,1,0.313924074173,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,m,1,0.267682790756,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,10,0,20,1,,,m,1,0.284129142761,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,10,1,21,0,,,z,1,0.35117816925,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,11,0,22,1,,,m,1,0.367754936218,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,11,1,23,1,,,m,1,0.300757884979,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,12,0,24,0,,,z,1,0.267553091049,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,12,1,25,0,,,z,1,0.300709962845,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,13,0,26,0,,,z,1,0.367100000381,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,13,1,27,1,,,m,1,0.250743150711,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,14,0,28,0,,,z,1,0.267561912537,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,14,1,29,0,,,z,1,0.350907087326,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,15,0,30,0,,,z,1,0.350880146027,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,15,1,31,0,,,z,1,0.362837791443,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,0,0,0,0,None,16,0,32,1,,,m,1,0.267707109451,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,0,0,0,0,None,16,1,33,0,,,z,1,0.367518901825,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
,,,,,,,0,0,0,0,None,,,,,,,,,,space,3.80485916138,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,0,0,0,0,,,z,1,0.350727081299,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,0,1,1,0,,,z,1,0.334232091904,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,1,0,2,1,,,m,1,0.317289113998,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,1,1,3,1,,,m,1,0.383941173553,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,2,0,4,0,,,z,1,0.400681972504,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,2,1,5,1,,,m,1,0.351040124893,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,3,0,6,0,,,z,1,0.3840239048,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,3,1,7,0,,,z,1,0.417798995972,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,4,0,8,1,,,m,1,0.333966970444,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,4,1,9,0,,,z,1,0.430145025253,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,5,0,10,0,,,z,1,0.517889022827,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,5,1,11,1,,,m,1,0.417633056641,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,6,0,12,0,,,z,1,0.384068965912,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,6,1,13,0,,,z,1,0.405992984772,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,7,0,14,1,,,m,1,0.283680200577,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,7,1,15,0,,,z,1,0.317186832428,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,8,0,16,1,,,m,1,0.26762509346,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,8,1,17,1,,,m,1,0.301101922989,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,9,0,18,1,,,m,1,0.284175157547,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,9,1,19,0,,,z,1,0.300849914551,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,10,0,20,1,,,m,1,0.234176874161,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,10,1,21,0,,,z,1,0.267590045929,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,11,0,22,1,,,m,1,0.30066204071,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,11,1,23,1,,,m,1,0.300853967667,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,12,0,24,0,,,z,1,0.284359931946,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,12,1,25,0,,,z,1,0.300671100616,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,13,0,26,1,,,m,1,0.384413003922,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,13,1,27,1,,,m,1,0.317573785782,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,14,0,28,1,,,m,1,0.501046895981,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,14,1,29,0,,,z,1,0.283859014511,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,15,0,30,0,,,z,1,0.401203870773,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,15,1,31,1,,,m,1,0.267374992371,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
m,0,200,,,,,1,0,1,0,None,16,0,32,1,,,m,1,0.283899068832,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
z,0,-200,,,,,1,0,1,0,None,16,1,33,0,,,z,1,0.267940998077,,,LearningTask,,,59.9708031702,3,2015_Mar_31_1027,3015,
