xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,feedbackResp.keys,feedbackResp.corr,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,resp.rt,secondPracComputedRewardOutput,secondPracLearningStimOnset,secondPracLearningFixOnset,secondPracPresentationRT,secondPracPresentationAcc,secondPracPresentationResp,secondPracEndTrialTimeStamp,thirdPracComputedRewardOutput,thirdPracLearningStimOnset,thirdPracLearningFixOnset,thirdPracPresentationRT,thirdPracPresentationAcc,thirdPracPresentationResp,thirdPracEndTrialTimeStamp,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,2,3,11,3,,,,,,,,,,,,,,,,,,,,,,,,802.904895067,a,1,None,0,,,,,,,,0.433833122253,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,0.514930963516,0.000904083251953,0.433833122253,1,a,805.906807184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,3,0,12,2,,,,,,,,,,,,,,,,,,,,,,,,805.908424139,s,1,None,0,,,,,,,,0.367403030396,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.514219999313,0.000948905944824,0.367403030396,1,s,808.910605192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,3,1,13,3,,,,,,,,,,,,,,,,,,,,,,,,808.912142038,a,1,None,0,,,,,,,,0.367834806442,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,0.514010190964,0.000946044921875,0.367834806442,1,a,811.913382053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,3,2,14,3,,,,,,,,,,,,,,,,,,,,,,,,811.91508007,a,1,None,0,,,,,,,,0.36732506752,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.514497995377,0.00103807449341,0.36732506752,1,a,814.917181969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,3,3,15,0,,,,,,,,,,,,,,,,,,,,,,,,814.918848991,w,1,None,0,,,,,,,,0.350845098495,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,0.514002799988,0.000932931900024,0.350845098495,1,w,817.920294046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,4,0,16,3,,,,,,,,,,,,,,,,,,,,,,,,817.921838045,a,1,None,0,,,,,,,,0.384089946747,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.514178991318,0.000936031341553,0.384089946747,1,a,820.923933983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,4,1,17,2,,,,,,,,,,,,,,,,,,,,,,,,820.925471067,s,1,None,0,,,,,,,,0.384394884109,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,0.513673067093,0.000990867614746,0.384394884109,1,s,823.926839113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,4,2,18,2,,,,,,,,,,,,,,,,,,,,,,,,823.928653002,s,1,None,0,,,,,,,,0.383950948715,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,0.514496088028,0.000883102416992,0.383950948715,1,s,826.93021512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,4,3,19,1,,,,,,,,,,,,,,,,,,,,,,,,826.931807041,q,1,None,0,,,,,,,,0.350902080536,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,0.514380931854,0.00141000747681,0.350902080536,1,q,829.933532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,5,0,20,2,,,,,,,,,,,,,,,,,,,,,,,,829.935065031,s,1,None,0,,,,,,,,0.367936134338,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.514326810837,0.000957012176514,0.367936134338,1,s,832.937076092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,5,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,832.938781977,q,1,None,0,,,,,,,,0.384600877762,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,0.514099121094,0.0010621547699,0.384600877762,1,q,835.940733194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_05_1044,59.8888552548,LearningTask,001,43,
