xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,1,45,0,3,0,3,0,None,,,271.899302006,None,0,,None,0.515799999237,0.00159001350403,274.900780916,,,,,,,,,,,,,,,,,,,,,,2.24,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,1,45,0,4,0,4,0,None,,,274.901355982,None,0,,None,0.515923976898,0.00123906135559,277.903281927,,,,,,,,,,,,,,,,,,,,,,2.1,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,1,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,2,46,2,0,0,0,0,None,,,278.552793026,None,0,,None,0.500943899155,0.000959873199463,281.555854082,,,,,,,,,,,,,,,,,,,,278.551361084,278.551524878,0.86,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,2,46,2,1,0,1,0,None,,,281.55645895,None,0,,None,0.515808820724,0.00125288963318,284.558553934,,,,,,,,,,,,,,,,,,,,,,0.98,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,2,46,2,2,0,2,0,None,,,284.559391022,None,0,,None,0.515506029129,0.00150299072266,287.56110096,,,,,,,,,,,,,,,,,,,,,,1.06,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,2,46,2,3,0,3,0,None,,,287.561930895,None,0,,None,0.515419006348,0.00170683860779,290.563181877,,,,,,,,,,,,,,,,,,,,,,1.02,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,2,46,2,4,0,4,0,None,,,290.563797951,None,0,,None,0.516008138657,0.00145101547241,293.565562963,,,,,,,,,,,,,,,,,,,,,,1.01,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,2,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,3,47,2,0,0,0,0,None,,,294.19572401,None,0,,None,0.503719806671,0.00120878219604,297.185354948,,,,,,,,,,,,,,,,,,,,294.193881035,294.194120884,1.92,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,3,47,2,1,0,1,0,None,,,297.185960054,None,0,,None,0.515769958496,0.0012218952179,300.187690973,,,,,,,,,,,,,,,,,,,,,,2.07,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,3,47,2,2,0,2,0,None,,,300.188289881,None,0,,None,0.515882968903,0.00124287605286,303.190308094,,,,,,,,,,,,,,,,,,,,,,1.91,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,3,47,2,3,0,3,0,None,,,303.190816879,None,0,,None,0.515748977661,0.00123906135559,306.192446947,,,,,,,,,,,,,,,,,,,,,,2.16,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,3,47,2,4,0,4,0,None,,,306.193093061,None,0,,None,0.515628099442,0.00144410133362,309.194731951,,,,,,,,,,,,,,,,,,,,,,1.78,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,11,3,47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,0,48,2,0,0,0,0,None,,,309.834985971,None,0,,None,0.510228872299,0.000916004180908,312.831268072,,,,,,,,,,,,,,,,,,,,309.833683014,309.833839893,0.42,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,0,48,2,1,0,1,0,None,,,312.831937075,None,0,,None,0.515559911728,0.00137090682983,315.83336401,,,,,,,,,,,,,,,,,,,,,,0.62,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,0,48,2,2,0,2,0,None,,,315.834213018,None,0,,None,0.515610933304,0.00173187255859,318.835934877,,,,,,,,,,,,,,,,,,,,,,0.31,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,0,48,2,3,0,3,0,None,,,318.836829901,None,0,,None,0.515527963638,0.00132203102112,321.838129044,,,,,,,,,,,,,,,,,,,,,,0.75,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,0,48,2,4,0,4,0,None,,,321.838706017,None,0,,None,0.515995979309,0.00113296508789,324.840414047,,,,,,,,,,,,,,,,,,,,,,0.29,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,0,48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,1,49,1,0,0,0,0,None,,,325.480797052,None,0,,None,0.510083198547,0.000910043716431,328.476989031,,,,,,,,,,,,,,,,,,,,325.479288101,325.479461908,1.24,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
