xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,computedRewardOutput,learningStimOnset,learningFixOnset,EndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,expName,gender (m/f),age,frameRate,session,date,participant,
-200,q,200,,,,,,,,,0,0,0,0,10,0,40,1,,,,,141.455841064,141.456053019,141.4563241,None,0,,None,0.87,0.515139818192,0.00122880935669,144.457759142,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,10,1,41,2,,,,,144.458637953,144.458852053,144.459124088,None,0,,None,0.62,0.515152931213,0.00124406814575,147.460247993,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,10,2,42,3,,,,,147.461447954,147.461756945,147.462162018,None,0,,None,2.13,0.514412164688,0.00129318237305,150.462599993,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,10,3,43,0,,,,,150.463634968,150.46384716,150.46412015,None,0,,None,0.28,0.514863967896,0.00147294998169,153.465103149,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,11,0,44,1,,,,,153.46579814,153.465955019,153.466175079,None,0,,None,1.07,0.515883922577,0.00105690956116,156.46748209,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,11,1,45,3,,,,,156.468438148,156.468650103,156.468937159,None,0,,None,0.33,0.514833927155,0.00150895118713,159.469583988,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,11,2,46,2,,,,,159.470453024,159.470664024,159.470937014,None,0,,None,0.51,0.515350103378,0.00135803222656,162.472079039,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,11,3,47,2,,,,,162.472903967,162.473112106,162.47338295,None,0,,None,2.03,0.515330076218,0.00114893913269,165.474302053,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,12,0,48,2,,,,,165.475120068,165.475319147,165.475582123,None,0,,None,2.07,0.515176057816,0.00117421150208,168.476814032,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,12,1,49,0,,,,,168.477690935,168.477898121,168.478279114,None,0,,None,1.97,0.51497220993,0.00143313407898,171.47926116,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,12,2,50,0,,,,,171.479973078,171.480148077,171.480410099,None,0,,None,0.97,0.515434980392,0.00109004974365,174.48149395,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,12,3,51,0,,,,,174.482439995,174.482649088,174.482985973,None,0,,None,4.25,0.515112876892,0.00129294395447,177.484225035,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,13,0,52,1,,,,,177.485450029,177.485756159,177.486186981,None,0,,None,4.23,0.514186859131,0.00149583816528,180.486322165,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,13,1,53,3,,,,,180.487143993,180.487352133,180.487622976,None,0,,None,0.79,0.515330791473,0.00123286247253,183.488669157,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,13,2,54,1,,,,,183.489345074,183.489513159,183.489732981,None,0,,None,3.9,0.515610933304,0.000942945480347,186.491294146,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,13,3,55,0,,,,,186.492130995,186.492401123,186.49279809,None,0,,None,2.06,0.514718055725,0.00132203102112,189.493616104,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,14,0,56,0,,,,,189.49435401,189.494548082,189.494799137,None,0,,None,0.54,0.515316963196,0.00102996826172,192.495456934,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,14,1,57,2,,,,,192.496319056,192.496525049,192.496796131,None,0,,None,0.93,0.515430927277,0.00123691558838,195.498314142,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,14,2,58,3,,,,,195.499166012,195.499356985,195.49960494,None,0,,None,2.25,0.515289068222,0.00109910964966,198.500648975,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,14,3,59,1,,,,,198.501356125,198.501526117,198.50178504,None,0,,None,1.91,0.515269994736,0.00115895271301,201.503123045,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,w,200,,,,,,,,,0,0,0,0,15,0,60,0,,,,,201.503944159,201.504140139,201.504423141,None,0,,None,2.16,0.515107154846,0.0012001991272,204.505455971,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,15,1,61,1,,,,,204.506382942,204.506590128,204.506860971,None,0,,None,4.17,0.515038013458,0.0013279914856,207.50794816,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,15,2,62,2,,,,,207.509153128,207.509464979,207.509865046,None,0,,None,1.17,0.514451026917,0.00123715400696,210.510307074,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
