StopOrGo,Amount,Shape,Color,StopOrGoAndAmountLoop.thisRepN,StopOrGoAndAmountLoop.thisTrialN,StopOrGoAndAmountLoop.thisN,StopOrGoAndAmountLoop.thisIndex,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,expName,gender (m/f),age,frameRate,session,date,participant,
Go,2,circle,gray,0,0,0,5,0,1,1,7,1,1,9,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,white,0,0,0,5,0,1,1,7,1,2,10,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,magenta,0,0,0,5,0,1,1,7,1,3,11,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,yellow,0,0,0,5,0,1,1,7,1,4,12,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,cyan,0,0,0,5,0,1,1,7,1,5,13,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,blue,0,0,0,5,0,1,1,7,1,6,14,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,green,0,0,0,5,0,1,1,7,1,7,15,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,cyan,0,0,0,5,0,1,1,7,2,0,16,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,yellow,0,0,0,5,0,1,1,7,2,1,17,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,magenta,0,0,0,5,0,1,1,7,2,2,18,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,blue,0,0,0,5,0,1,1,7,2,3,19,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,white,0,0,0,5,0,1,1,7,2,4,20,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,gray,0,0,0,5,0,1,1,7,2,5,21,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,orange,0,0,0,5,0,1,1,7,2,6,22,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,green,0,0,0,5,0,1,1,7,2,7,23,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,magenta,0,0,0,5,0,1,1,7,3,0,24,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,green,0,0,0,5,0,1,1,7,3,1,25,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
