xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,14,3,59,1,,,,,,,,,,,,,,,,,q,1,0.250458955765,,,,,,,,,,,,,,,,0.32,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,15,0,60,1,,,,,,,,,,,,,,,,,q,1,0.534324169159,,,,,,,,,,,,,,,,0.63,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,15,1,61,3,,,,,,,,,,,,,,,,,a,1,0.400989055634,,,,,,,,,,,,,,,,1.95,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,15,2,62,1,,,,,,,,,,,,,,,,,q,1,0.384135961533,,,,,,,,,,,,,,,,1.79,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,15,3,63,1,,,,,,,,,,,,,,,,,q,1,0.434305906296,,,,,,,,,,,,,,,,2.25,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,16,0,64,0,,,,,,,,,,,,,,,,,w,1,0.41729593277,,,,,,,,,,,,,,,,0.75,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,16,1,65,0,,,,,,,,,,,,,,,,,w,1,0.433903932571,,,,,,,,,,,,,,,,1.17,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,16,2,66,1,,,,,,,,,,,,,,,,,q,1,0.434185028076,,,,,,,,,,,,,,,,0.72,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,16,3,67,1,,,,,,,,,,,,,,,,,q,1,0.534253835678,,,,,,,,,,,,,,,,0.44,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,17,0,68,2,,,,,,,,,,,,,,,,,s,1,0.367471218109,,,,,,,,,,,,,,,,3.89,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,17,1,69,1,,,,,,,,,,,,,,,,,q,1,0.500926971436,,,,,,,,,,,,,,,,1.93,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,17,2,70,2,,,,,,,,,,,,,,,,,s,1,0.350910186768,,,,,,,,,,,,,,,,1.22,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,17,3,71,0,,,,,,,,,,,,,,,,,w,1,0.434241056442,,,,,,,,,,,,,,,,2.08,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,18,0,72,3,,,,,,,,,,,,,,,,,a,1,0.367374897003,,,,,,,,,,,,,,,,1.83,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,18,1,73,0,,,,,,,,,,,,,,,,,w,1,0.367729902267,,,,,,,,,,,,,,,,2.19,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,18,2,74,1,,,,,,,,,,,,,,,,,q,1,0.367428064346,,,,,,,,,,,,,,,,0.8,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,18,3,75,3,,,,,,,,,,,,,,,,,a,1,0.400685071945,,,,,,,,,,,,,,,,1.89,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,19,0,76,1,,,,,,,,,,,,,,,,,q,1,0.350823163986,,,,,,,,,,,,,,,,0.3,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,19,1,77,2,,,,,,,,,,,,,,,,,s,1,0.300685167313,,,,,,,,,,,,,,,,0.78,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,19,2,78,1,,,,,,,,,,,,,,,,,q,1,0.317495107651,,,,,,,,,,,,,,,,2.24,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,19,3,79,1,,,,,,,,,,,,,,,,,q,1,0.300609111786,,,,,,,,,,,,,,,,0.47,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,20,0,80,0,,,,,,,,,,,,,,,,,w,1,0.283972978592,,,,,,,,,,,,,,,,1.11,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,20,1,81,2,,,,,,,,,,,,,,,,,s,1,0.3176009655,,,,,,,,,,,,,,,,2.19,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,20,2,82,2,,,,,,,,,,,,,,,,,s,1,0.35073018074,,,,,,,,,,,,,,,,2.13,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,20,3,83,1,,,,,,,,,,,,,,,,,q,1,0.367547988892,,,,,,,,,,,,,,,,2.04,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,21,0,84,0,,,,,,,,,,,,,,,,,w,1,0.284214019775,,,,,,,,,,,,,,,,2.18,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,21,1,85,3,,,,,,,,,,,,,,,,,a,1,0.317482948303,,,,,,,,,,,,,,,,2.06,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,21,2,86,3,,,,,,,,,,,,,,,,,a,1,0.367438077927,,,,,,,,,,,,,,,,0.28,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,21,3,87,3,,,,,,,,,,,,,,,,,a,1,0.484200954437,,,,,,,,,,,,,,,,0.58,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,22,0,88,1,,,,,,,,,,,,,,,,,q,1,0.36726808548,,,,,,,,,,,,,,,,0.37,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,22,1,89,3,,,,,,,,,,,,,,,,,a,1,0.417474031448,,,,,,,,,,,,,,,,0.26,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,22,2,90,2,,,,,,,,,,,,,,,,,s,1,0.434131860733,,,,,,,,,,,,,,,,1.87,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,22,3,91,3,,,,,,,,,,,,,,,,,a,1,0.417553901672,,,,,,,,,,,,,,,,0.38,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,23,0,92,3,,,,,,,,,,,,,,,,,a,1,0.467555999756,,,,,,,,,,,,,,,,1.1,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,23,1,93,1,,,,,,,,,,,,,,,,,q,1,0.33417391777,,,,,,,,,,,,,,,,3.89,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,23,2,94,2,,,,,,,,,,,,,,,,,s,1,0.317341089249,,,,,,,,,,,,,,,,4.18,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,23,3,95,0,,,,,,,,,,,,,,,,,w,1,0.400871038437,,,,,,,,,,,,,,,,4.14,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,24,0,96,2,,,,,,,,,,,,,,,,,s,1,0.400787830353,,,,,,,,,,,,,,,,0.65,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,24,1,97,1,,,,,,,,,,,,,,,,,q,1,0.45094704628,,,,,,,,,,,,,,,,4.11,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,24,2,98,3,,,,,,,,,,,,,,,,,a,1,0.433897018433,,,,,,,,,,,,,,,,2.06,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,24,3,99,2,,,,,,,,,,,,,,,,,s,1,0.384255886078,,,,,,,,,,,,,,,,4.14,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9197413666,3,2015_Apr_10_1414,2,
