xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,16,3,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.38462305069,None,0,4.0,squareorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.94,0.51394701004,0.000904083251953,0.38462305069,1,q,733.715487003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,17,0,68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.35044503212,None,0,4.0,squareorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.93,0.514556884766,0.000875949859619,0.35044503212,1,q,736.718930006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,17,1,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.384394168854,None,0,1.0,crossgray.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.514323949814,0.000881910324097,0.384394168854,1,w,739.722483873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,17,2,70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.417397022247,None,0,0.5,invertedtrianglegreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.513643980026,0.00090503692627,0.417397022247,1,s,742.725534916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,17,3,71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.384184837341,None,0,0.5,invertedtrianglegreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514359951019,0.00088095664978,0.384184837341,1,s,745.728785992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,18,0,72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.417515039444,None,0,1.0,circlewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.514429092407,0.000880002975464,0.417515039444,1,a,748.732684851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,18,1,73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.417614936829,None,0,4.0,diamondcyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,4.14,0.513906955719,0.000888109207153,0.417614936829,1,s,751.735504866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,18,2,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.367695093155,None,0,2.0,lineblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.81,0.514351129532,0.000931024551392,0.367695093155,1,w,754.73884201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,18,3,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.351130962372,None,0,0.5,invertedtrianglegreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.5143699646,0.000876903533936,0.351130962372,1,w,757.742401838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,19,0,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.333989143372,None,0,4.0,squareorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,4.25,0.514260053635,0.000881195068359,0.333989143372,1,s,760.745677948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,19,1,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.350740194321,None,0,4.0,diamondcyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,4.06,0.514228820801,0.00100183486938,0.350740194321,1,w,763.748837948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,19,2,78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.400786876678,None,0,4.0,diamondcyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,3.96,0.514651060104,0.00088095664978,0.400786876678,1,a,766.752357006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,19,3,79,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.350997924805,None,0,0.5,invertedtrianglegreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514424085617,0.000875949859619,0.350997924805,1,a,769.755740881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,20,0,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.317419052124,None,0,4.0,squareorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,4.05,0.514309167862,0.000926971435547,0.317419052124,1,s,772.759068966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,20,1,81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.367100954056,None,0,4.0,diamondcyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,4.04,0.514396905899,0.000937938690186,0.367100954056,1,s,775.762475967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,20,2,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.367805957794,None,0,4.0,squareorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.95,0.514297008514,0.000871896743774,0.367805957794,1,w,778.765899897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,20,3,83,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.401497125626,None,0,1.0,circlewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.51388001442,0.000890016555786,0.401497125626,1,s,781.769099951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,21,0,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.384171009064,None,0,1.0,circlewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.514576911926,0.000878095626831,0.384171009064,1,q,784.772622824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,21,1,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.333760023117,None,0,1.0,circlewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.51447892189,0.000877857208252,0.333760023117,1,w,787.776189804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,21,2,86,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.401396989822,None,0,4.0,diamondcyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.513962030411,0.000895023345947,0.401396989822,1,s,790.779210806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,21,3,87,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.367017030716,None,0,4.0,squareorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514636039734,0.000863075256348,0.367017030716,1,a,793.782822847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,22,0,88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.33429312706,None,0,0.5,hexagonmagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.513776063919,0.000972986221313,0.33429312706,1,q,796.78628087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,22,1,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.334513187408,None,0,0.5,invertedtrianglegreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.513820886612,0.000877857208252,0.334513187408,1,w,799.789424896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,22,2,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.333623886108,None,0,1.0,circlewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514506101608,0.00099515914917,0.333623886108,1,q,802.792802811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,22,3,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.350682020187,None,0,0.5,hexagonmagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514432907104,0.000881910324097,0.350682020187,1,w,805.796178818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,23,0,92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.351119995117,None,0,2.0,triangleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.514174938202,0.000885963439941,0.351119995117,1,q,808.799305916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_18_1102,60.1511557535,LearningTask,1,22,
