xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
-200,g,-200,,,,,6,1,25,3,,,g,1,0.367866039276,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,h,-200,,,,,6,2,26,2,,,h,1,0.333962917328,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,y,200,,,,,6,3,27,0,,,y,1,0.384435176849,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,g,-200,,,,,7,0,28,3,,,t,0,0.300791025162,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,t,200,,,,,7,1,29,1,,,t,1,0.384757041931,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,y,200,,,,,7,2,30,0,,,y,1,0.267775058746,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,h,-200,,,,,7,3,31,2,,,h,1,0.284384965897,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,h,-200,,,,,8,0,32,2,,,h,1,0.384490013123,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,y,200,,,,,8,1,33,0,,,y,1,0.418905973434,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,t,200,,,,,8,2,34,1,,,t,1,0.16753911972,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,g,-200,,,,,8,3,35,3,,,g,1,0.367792844772,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
-200,t,200,,,,,9,0,36,1,,,g,0,0.534437894821,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,y,200,,,,,9,1,37,0,,,h,0,0.784846067429,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
200,h,-200,,,,,9,2,38,2,,,g,0,0.717853069305,LearningTask,,,59.9858126816,3,2015_Mar_18_1136,555,
