xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant
,,,m,0,200,,,,,,,,,,2,1,5,1,,,,,,,,,,,,,,,,,,,,,,63.6537962,3.002600193,-1,go,squarecyan.gif,m,1,0.851194143,2,1.352132082,2,4,3,0,0,0.0010221,0.515258074,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
,,,z,0,-200,,,,,,,,,,3,0,6,0,,,,,,,,,,,,,,,,,,,,,,66.65605712,3.002260923,0.25,stop,hexagonyellow.gif,m,0,0.434209108,2,1.352132082,2,5,3,0,0,0.001085043,0.515218973,0.76560092,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
,,,z,0,-200,,,,,,,,,,3,1,7,0,,,,,,,,,,,,,,,,,,,,,,69.65869498,3.002637863,-1,go,triangleorange.gif,None,0,,3,1.352132082,2,5,3,1,0,0.001141787,0.515348911,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
,,,z,0,-200,,,,,,,,,,4,0,8,0,,,,,,,,,,,,,,,,,,,,,,72.66087008,3.002175093,0.25,stop,hexagonyellow.gif,None,0,,3,1.352132082,2,6,4,1,0,0.001209021,0.514616013,0.76492095,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
,,,m,0,200,,,,,,,,,,4,1,9,1,,,,,,,,,,,,,,,,,,,,,,75.66329598,3.002425909,-1,go,invertedtrianglemagenta.gif,m,1,0.467473984,4,1.819606066,3,6,4,1,0,0.001049995,0.515604019,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.076242924,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.716050863,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,0,0,2,0,0,0,0,None,,,s,1,0.767726898,0.510826111,0.00095892,84.50307107,,,,,,,,,,,,,,,,,,,,1.21,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,1,1,3,0,0,0,0,None,,,w,0,0.533960104,0.509538174,0.000949144,87.22170806,2.71863699,,,,,,,,,,,,,,,,,,,0.53,LearningTask,,,59.97251816,3,2015_May_27_1545,4
