xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,FeedbackOffTimestamp,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,goResp.rt,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
,,,z,0,-200,,,,,,,,,,3,1,7,0,,,,,,,,,,,,,,,,,,,,,,,<psychopy.clock.Clock instance at 0x1bac3990>,-1,go,lineyellow.gif,z,1,3,1.56865286827,3,5,4,0,0,0.00144410133362,0.514798164368,,0.534091949463,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
,,,m,0,200,,,,,,,,,,4,0,8,1,,,,,,,,,,,,,,,,,,,,,,,<psychopy.clock.Clock instance at 0x1d905238>,0.25,stop,trianglemagenta.gif,None,0,3,1.56865286827,3,6,5,0,0,0.00103306770325,0.51548409462,0.765473127365,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
,,,m,0,200,,,,,,,,,,4,1,9,1,,,,,,,,,,,,,,,,,,,,,,,<psychopy.clock.Clock instance at 0x1d905c88>,0.25,stop,squarecyan.gif,None,0,3,1.56865286827,3,7,6,0,0,0.000975847244263,0.515617847443,0.765855073929,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.74632287025,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.5500099659,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,0,0,2,0,0,0,0,None,,,s,1,0.867799043655,0.51414680481,0.00100898742676,,<psychopy.clock.Clock instance at 0x1bbb7148>,,,,,,,,,,,,,,,,,,,1.18,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,1,1,1,0,0,0,0,None,,,q,1,0.334162950516,0.50835609436,0.00103306770325,,<psychopy.clock.Clock instance at 0x1b3363f0>,,,,,,,,,,,,,,,,,,,0.62,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,2,2,2,0,0,0,0,None,,,w,0,0.0837941169739,0.503851890564,0.000933885574341,,<psychopy.clock.Clock instance at 0xae3d058>,,,,,,,,,,,,,,,,,,,2.23,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,2,2,2,1,0,1,0,None,,,s,1,0.317262887955,0.516257047653,0.00110507011414,,<psychopy.clock.Clock instance at 0x1d941918>,,,,,,,,,,,,,,,,,,,2.18,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
