xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,feedbackResp.rt,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,fourthComputedRewardOutput,fourthLearningStimOnset,fourthLearningFixOnset,fourthPresentationRT,fourthPresentationAcc,fourthPresentationResp,fourthEndTrialTimeStamp,fifthComputedRewardOutput,fifthLearningStimOnset,fifthLearningFixOnset,fifthPresentationRT,fifthPresentationAcc,fifthPresentationResp,fifthEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,22,1,89,1,,,,,,,,,,,,,,,,,,,,,,q,1,0.41761302948,None,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.19,0.512006044388,0.00124406814575,0.41761302948,1,q,432.936976194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,22,2,90,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.550557851791,None,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,0.512135028839,0.00123000144958,0.550557851791,1,w,435.937048197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,22,3,91,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.434442043304,None,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,0,0.51236987114,0.00121188163757,0.434442043304,1,w,438.936571121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,23,0,92,1,,,,,,,,,,,,,,,,,,,,,,q,1,0.467597961426,None,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,0.513079881668,0.00104379653931,0.467597961426,1,q,441.93712306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,23,1,93,2,,,,,,,,,,,,,,,,,,,,,,s,1,0.667112112045,None,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.05,0.512753009796,0.00108695030212,0.667112112045,1,s,444.936992168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,23,2,94,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.500638008118,None,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.96,0.512887001038,0.00108003616333,0.500638008118,1,w,447.938274145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,23,3,95,1,,,,,,,,,,,,,,,,,,,,,,q,1,0.400676012039,None,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.511608123779,0.00121212005615,0.400676012039,1,q,450.938407183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,24,0,96,1,,,,,,,,,,,,,,,,,,,,,,q,1,0.467321872711,None,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.511810064316,0.00118708610535,0.467321872711,1,q,453.93841815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,24,1,97,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.617739915848,None,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.511450052261,0.00144195556641,[],0,None,456.937863111,0.38,0.514554023743,0.00112199783325,[],0,None,459.938904047,0.576594114304,0.32,0.513353824615,0.00152182579041,0.617739915848,1,w,462.939052105,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,24,2,98,3,,,,,,,,,,,,,,,,,,,,,,a,1,0.517476081848,None,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.512075185776,0.00120806694031,0.517476081848,1,a,465.93957305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
