corrGoResp,yPosGoStim,xPosGoStim,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
m,0,200,,,,,0,0,0,0,None,4,1,9,1,,,-1,go,invertedtrianglegray.gif,m,1,0.350697040558,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,5,0,10,0,,,-1,go,hexagonmagenta.gif,z,1,0.334306001663,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,5,1,11,0,,,-1,go,crossblue.gif,z,1,0.367668867111,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,6,0,12,0,,,0.25,stop,squarecyan.gif,z,1,0.383884906769,0.2,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,6,1,13,1,,,0.1,stop,squarecyan.gif,None,0,,0.15,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,7,0,14,0,,,0.2,stop,squarecyan.gif,None,0,,0.25,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,7,1,15,1,,,0.15,stop,circleorange.gif,None,0,,0.2,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,8,0,16,1,,,0.2,stop,circleorange.gif,None,0,,0.25,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,8,1,17,0,,,-1,go,linegreen.gif,None,0,,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,9,0,18,0,,,-1,go,linegreen.gif,None,0,,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,9,1,19,1,,,0.25,stop,diamondwhite.gif,None,0,,0.3,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,10,0,20,0,,,0.25,stop,triangleyellow.gif,None,0,,0.3,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,10,1,21,1,,,-1,go,invertedtrianglegray.gif,None,0,,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,11,0,22,0,,,-1,go,crossblue.gif,None,0,,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,11,1,23,0,,,0.3,stop,circleorange.gif,None,0,,0.35,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,12,0,24,0,,,0.35,stop,triangleyellow.gif,None,0,,0.4,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,12,1,25,1,,,0.3,stop,circleorange.gif,None,0,,0.35,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,13,0,26,1,,,0.35,stop,squarecyan.gif,None,0,,0.4,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,13,1,27,1,,,0.4,stop,squarecyan.gif,None,0,,0.45,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,14,0,28,1,,,-1,go,hexagonmagenta.gif,None,0,,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,14,1,29,1,,,0.45,stop,diamondwhite.gif,None,0,,0.5,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,15,0,30,0,,,0.4,stop,triangleyellow.gif,None,0,,0.45,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,15,1,31,0,,,-1,go,crossblue.gif,None,0,,-1,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
z,0,-200,,,,,0,0,0,0,None,16,0,32,0,,,0.45,stop,diamondwhite.gif,None,0,,0.5,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
m,0,200,,,,,0,0,0,0,None,16,1,33,1,,,0.5,stop,triangleyellow.gif,None,0,,0.55,LearningTask,,,59.9121238266,3,2015_Mar_31_1350,3070,
