223.6760 	EXP 	text_3: autoDraw = True
224.6612 	EXP 	New trial (rep=20, index=0): None
224.6614 	EXP 	window1: recordFrameIntervals = False
224.6770 	EXP 	text_3: autoDraw = False
224.6770 	EXP 	text_3: autoDraw = False
224.6770 	EXP 	text: autoDraw = True
224.6772 	EXP 	window1: recordFrameIntervals = False
225.2781 	EXP 	Sound  started
225.4614 	EXP 	Sound  stopped
225.5455 	DATA 	Keypress: space
225.5467 	EXP 	Sound  stopped
225.5614 	EXP 	text: autoDraw = False
225.5614 	EXP 	text_3: autoDraw = True
226.5467 	EXP 	New trial (rep=21, index=0): None
226.5469 	EXP 	window1: recordFrameIntervals = False
226.5624 	EXP 	text_3: autoDraw = False
226.5624 	EXP 	text_3: autoDraw = False
226.5624 	EXP 	text: autoDraw = True
226.5626 	EXP 	window1: recordFrameIntervals = False
227.1301 	EXP 	Sound  started
227.3302 	EXP 	Sound  stopped
227.3640 	DATA 	Keypress: space
227.3654 	EXP 	Sound  stopped
227.3799 	EXP 	text: autoDraw = False
227.3799 	EXP 	text_3: autoDraw = True
228.3661 	EXP 	New trial (rep=22, index=0): None
228.3663 	EXP 	window1: recordFrameIntervals = False
228.3811 	EXP 	text_3: autoDraw = False
228.3811 	EXP 	text_3: autoDraw = False
228.3811 	EXP 	text: autoDraw = True
228.3814 	EXP 	window1: recordFrameIntervals = False
229.3493 	EXP 	Sound  started
229.5327 	EXP 	Sound  stopped
229.5996 	DATA 	Keypress: space
229.6009 	EXP 	Sound  stopped
229.6160 	EXP 	text: autoDraw = False
229.6160 	EXP 	text_3: autoDraw = True
230.6014 	EXP 	New trial (rep=23, index=0): None
230.6015 	EXP 	window1: recordFrameIntervals = False
230.6172 	EXP 	text_3: autoDraw = False
230.6172 	EXP 	text_3: autoDraw = False
230.6172 	EXP 	text: autoDraw = True
230.6174 	EXP 	window1: recordFrameIntervals = False
231.2853 	EXP 	Sound  started
231.4682 	EXP 	Sound  stopped
231.6017 	DATA 	Keypress: space
231.6169 	EXP 	Sound  stopped
231.6349 	EXP 	text: autoDraw = False
231.6349 	EXP 	text_3: autoDraw = True
232.6199 	EXP 	New trial (rep=24, index=0): None
232.6201 	EXP 	window1: recordFrameIntervals = False
232.6358 	EXP 	text_3: autoDraw = False
232.6358 	EXP 	text: autoDraw = True
232.6360 	EXP 	window1: recordFrameIntervals = False
233.5377 	EXP 	Sound  started
233.7207 	EXP 	Sound  stopped
233.8877 	DATA 	Keypress: space
233.8890 	EXP 	Sound  stopped
233.9040 	EXP 	text: autoDraw = False
233.9040 	EXP 	text_3: autoDraw = True
234.8897 	EXP 	New trial (rep=25, index=0): None
234.8899 	EXP 	window1: recordFrameIntervals = False
234.9052 	EXP 	text_3: autoDraw = False
234.9052 	EXP 	text_3: autoDraw = False
234.9052 	EXP 	text: autoDraw = True
234.9054 	EXP 	window1: recordFrameIntervals = False
235.8231 	EXP 	Sound  started
236.0065 	EXP 	Sound  stopped
236.0905 	DATA 	Keypress: space
236.0918 	EXP 	Sound  stopped
236.1068 	EXP 	text: autoDraw = False
236.1068 	EXP 	text_3: autoDraw = True
237.0918 	EXP 	New trial (rep=26, index=0): None
237.0919 	EXP 	window1: recordFrameIntervals = False
237.1075 	EXP 	text_3: autoDraw = False
237.1075 	EXP 	text_3: autoDraw = False
237.1075 	EXP 	text: autoDraw = True
237.1077 	EXP 	window1: recordFrameIntervals = False
237.6418 	EXP 	Sound  started
237.8253 	EXP 	Sound  stopped
237.9590 	DATA 	Keypress: space
237.9603 	EXP 	Sound  stopped
237.9752 	EXP 	text: autoDraw = False
237.9752 	EXP 	text_3: autoDraw = True
238.9606 	EXP 	New trial (rep=27, index=0): None
238.9608 	EXP 	window1: recordFrameIntervals = False
238.9764 	EXP 	text_3: autoDraw = False
238.9764 	EXP 	text_3: autoDraw = False
238.9764 	EXP 	text: autoDraw = True
238.9766 	EXP 	window1: recordFrameIntervals = False
239.7780 	EXP 	Sound  started
239.9610 	EXP 	Sound  stopped
240.0615 	DATA 	Keypress: space
240.0631 	EXP 	Sound  stopped
240.0777 	EXP 	text: autoDraw = False
240.0777 	EXP 	text_3: autoDraw = True
241.0633 	EXP 	New trial (rep=28, index=0): None
241.0635 	EXP 	window1: recordFrameIntervals = False
241.0788 	EXP 	text_3: autoDraw = False
241.0788 	EXP 	text_3: autoDraw = False
241.0788 	EXP 	text: autoDraw = True
241.0790 	EXP 	window1: recordFrameIntervals = False
241.6464 	EXP 	Sound  started
241.8299 	EXP 	Sound  stopped
242.0137 	DATA 	Keypress: space
242.0149 	EXP 	Sound  stopped
242.0300 	EXP 	text: autoDraw = False
242.0300 	EXP 	text_3: autoDraw = True
243.0152 	EXP 	New trial (rep=29, index=0): None
243.0153 	EXP 	window1: recordFrameIntervals = False
243.0312 	EXP 	text_3: autoDraw = False
243.0312 	EXP 	text_3: autoDraw = False
243.0312 	EXP 	text: autoDraw = True
243.0314 	EXP 	window1: recordFrameIntervals = False
243.6487 	EXP 	Sound  started
243.8490 	EXP 	Sound  stopped
243.9827 	DATA 	Keypress: space
243.9842 	EXP 	Sound  stopped
243.9986 	EXP 	text: autoDraw = False
243.9986 	EXP 	text_3: autoDraw = True
244.9839 	EXP 	New trial (rep=30, index=0): None
244.9840 	EXP 	window1: recordFrameIntervals = False
244.9996 	EXP 	text_3: autoDraw = False
244.9996 	EXP 	text_3: autoDraw = False
244.9996 	EXP 	text: autoDraw = True
244.9998 	EXP 	window1: recordFrameIntervals = False
245.7175 	EXP 	Sound  started
245.9177 	EXP 	Sound  stopped
246.1013 	DATA 	Keypress: space
246.1027 	EXP 	Sound  stopped
246.1176 	EXP 	text: autoDraw = False
246.1176 	EXP 	text_3: autoDraw = True
247.1029 	EXP 	New trial (rep=31, index=0): None
247.1031 	EXP 	window1: recordFrameIntervals = False
247.1187 	EXP 	text_3: autoDraw = False
247.1187 	EXP 	text_3: autoDraw = False
247.1187 	EXP 	text: autoDraw = True
247.1189 	EXP 	window1: recordFrameIntervals = False
247.9370 	EXP 	Sound  started
248.1368 	EXP 	Sound  stopped
248.1701 	DATA 	Keypress: space
248.1714 	EXP 	Sound  stopped
248.1866 	EXP 	text: autoDraw = False
248.1866 	EXP 	text_3: autoDraw = True
249.1723 	EXP 	New trial (rep=32, index=0): None
249.1724 	EXP 	window1: recordFrameIntervals = False
249.1879 	EXP 	text_3: autoDraw = False
249.1879 	EXP 	text_3: autoDraw = False
249.1879 	EXP 	text: autoDraw = True
249.1881 	EXP 	window1: recordFrameIntervals = False
249.9555 	EXP 	Sound  started
250.1390 	EXP 	Sound  stopped
250.6064 	DATA 	Keypress: space
250.6079 	EXP 	Sound  stopped
250.6226 	EXP 	text: autoDraw = False
250.6226 	EXP 	text_3: autoDraw = True
251.6085 	EXP 	New trial (rep=33, index=0): None
251.6087 	EXP 	window1: recordFrameIntervals = False
251.6237 	EXP 	text_3: autoDraw = False
251.6237 	EXP 	text_3: autoDraw = False
251.6237 	EXP 	text: autoDraw = True
251.6239 	EXP 	window1: recordFrameIntervals = False
252.2415 	EXP 	Sound  started
252.4416 	EXP 	Sound  stopped
252.4918 	DATA 	Keypress: space
252.4930 	EXP 	Sound  stopped
252.5082 	EXP 	text: autoDraw = False
252.5082 	EXP 	text_3: autoDraw = True
253.4935 	EXP 	New trial (rep=34, index=0): None
253.4937 	EXP 	window1: recordFrameIntervals = False
253.5093 	EXP 	text_3: autoDraw = False
253.5093 	EXP 	text_3: autoDraw = False
253.5093 	EXP 	text: autoDraw = True
253.5096 	EXP 	window1: recordFrameIntervals = False
254.3108 	EXP 	Sound  started
254.4938 	EXP 	Sound  stopped
254.6107 	DATA 	Keypress: space
254.6120 	EXP 	Sound  stopped
254.6272 	EXP 	text: autoDraw = False
254.6272 	EXP 	text_3: autoDraw = True
